时间,成交价,手数,买卖盘性质
09:50:57,45.3,469,买盘
09:51:00,45.3,357,卖盘
09:51:03,45.36,35,买盘
09:51:06,45.39,458,买盘
09:51:09,45.36,163,卖盘
09:51:12,45.38,17,买盘
09:51:15,45.37,78,卖盘
09:51:18,45.31,401,卖盘
09:51:21,45.38,66,卖盘
09:51:24,45.38,2,卖盘
09:51:27,45.37,37,卖盘
09:51:30,45.38,22,买盘
09:51:33,45.37,31,卖盘
09:51:36,45.37,25,卖盘
09:51:39,45.37,29,卖盘
09:51:42,45.37,44,卖盘
09:51:45,45.37,36,卖盘
09:51:48,45.39,89,买盘
09:51:51,45.4,18,买盘
09:51:54,45.41,263,买盘
09:51:57,45.4,97,卖盘
09:52:00,45.47,11,买盘
09:52:03,45.46,7,卖盘
09:52:06,45.46,34,卖盘
09:52:09,45.46,39,买盘
09:52:12,45.43,40,卖盘
09:52:15,45.42,35,卖盘
09:52:18,45.42,141,买盘
09:52:21,45.42,25,买盘
09:52:24,45.41,55,卖盘
09:52:27,45.4,15,买盘
09:52:30,45.38,76,卖盘
09:52:33,45.38,29,买盘
09:52:36,45.38,63,买盘
09:52:39,45.36,23,卖盘
09:52:42,45.32,120,卖盘
09:52:45,45.35,20,买盘
09:52:48,45.35,277,买盘
09:52:51,45.35,348,买盘
09:52:54,45.32,326,卖盘
09:52:57,45.34,55,买盘
09:53:00,45.35,42,买盘
09:53:03,45.38,1412,买盘
09:53:06,45.49,203,买盘
09:53:09,45.47,220,卖盘
09:53:12,45.47,12,卖盘
09:53:15,45.47,16,买盘
09:53:18,45.5,72,买盘
09:53:21,45.5,151,买盘
09:53:24,45.5,33,买盘
09:53:27,45.47,81,卖盘
09:53:30,45.45,50,卖盘
09:53:33,45.45,31,买盘
09:53:36,45.44,20,卖盘
09:53:39,45.45,47,买盘
09:53:42,45.45,34,买盘
09:53:45,45.45,7,卖盘
09:53:48,45.46,12,买盘
09:53:51,45.45,57,卖盘
09:53:54,45.45,56,买盘
09:53:57,45.45,70,买盘
09:54:00,45.43,53,卖盘
